영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Aalborg Airport,올보르 공항,AAL,EKYT,유럽,Denmark,덴마크,Aalborg
Alesund Airport,바이그라 공항,AES,ENAL,유럽,Norway,노르웨이,Aalesund
Aarhus Airport,터스럽 공항,AAR,EKAH,유럽,Denmark,덴마크,Aarhus
Abadan Airport,아바단 공항,ABD,OIAA,중동,Iran,이란,Abadan
Abaiang Airport,아바이앙 공항,ABF,NGAB,대양주,Kiribati,키리바시,Abaiang
Abakan Airport,아바칸 공항,ABA,UNAA,유럽,Russian Federation,러시아,Abakan
Abbotsford International Airport,애보트포드 국제공항,YXX,CYXX,북미,Canada,캐나다,Abbotsford
Abecher Airport,아베셰 공항,AEH,FTTC,아프리카,Chad,차드,Abeche
Abemama Airport,아베마마 공항,AEA,NGTB,대양주,Kiribati,키리바시,Abemama
Aberdeen Regional Airport,애버딘 지역공항,ABR,KABR,북미,United States of America,미국,Aberdeen
Aberdeen International Airport,다이스 공항 ,ABZ,EGPD,유럽,United Kingdom,영국,Aberdeen
Abha Airport,아바 지역공항,AHB,OEAB,중동,Saudi Arabia,사우디아라비아,Abha
Abidjan Felix Houphouet Boigny Airport,펠릭스 우후에 보아니 공항,ABJ,DIAP,아프리카,Cote d'Ivoire,코트디부아르,Abidjan
Abilene Regional Airport,애빌린 시공항,ABI,KABI,북미,United States of America,미국,Abilene
Abingdon Virginia Highlands Airport,애빙던 버지니아 하이랜드 공항,VJI,KVJI,북미,United States of America,미국,Abingdon
Mota Lava Airport,모타라바 공항,MTV,,대양주,Vanuatu,바누아투,Ablow
Abu Dhabi International Airport,아부다비 국제공항,AUH,OMAA,중동,United Arab Emirates,UAE,Abu Dhabi
Al Bateen Executive Airport,바틴 공항,AZI,OMAD,중동,United Arab Emirates,UAE,Abu Dhabi
Delma Island Airport,달마 공항,ZDY,OMDL,중동,United Arab Emirates,UAE,ABU DHABI
Abu Simbel Airport,아부심벨 공항,ABS,HEBL,아프리카,Egypt,이집트,Abu Simbel
Abuja Nnamdi Azikiwe International Airport,아부자 국제공항,ABV,DNAA,아프리카,Nigeria,나이지리아,Abuja
Abu Musa Airport,아부 무사 공항,AEU,OIBA,중동,Iran,이란,AbuMousa
Acapulco Alvarez International Airport,알바레즈 국제공항,ACA,MMAA,중남미,Mexico,멕시코,Acapulco
Acarigua Oswaldo Guevara Mujica Airport,오스왈도 구에바라 뮤지카 공항,AGV,,중남미,Venezuela,베네수엘라,Acarigua
Accra Kotoka International Airport,코타카 공항,ACC,DGAA,아프리카,Ghana,가나,Accra
Achutupo Airport,아추투포 공항,ACU,,중남미,Panama,파나마,Achutupo
Damazin Airport,다마진 공항,RSS,HSDZ,아프리카,Sudan,수단,Ad Damazin
Adak Island Naval Airport,아닥 공항,ADK,PADK,북미,United States of America,미국,Adak
Adampur Airport,아담푸르 공항,AIP,VIAX,아시아,India,인도,Adampur
Sirsa Airport,시스사 공군기지,,VISA,아시아,India,인도,Adampur / Jullundur
Adana Sakirpasa Airport,아다나 공항,ADA,LTAF,유럽,Turkey,터키,Adana
Adado Airport,아다도 공항,AAD,,아프리카,Somalia,소말리아,Ad-Dabbah
Addis Ababa Bole International Airport,보울 공항,ADD,HAAB,아프리카,Ethiopia,이디오피아,Addis Ababa
Dallas Addison Airport,애디슨 공항,ADS,KADS,북미,United States of America,미국,Addison
Adelaide Airport,애들레이드 국제공항,ADL,YPAD,대양주,Australia,오스트레일리아,Adelaide
Aden International Airport,아덴 국제공항,ADE,OYAA,중동,Yemen,예멘,Aden
Adiyaman Airport,아디야만 공항,ADF,LTCP,유럽,Turkey,터키,Adıyaman
Adrar Touat Airport,투앗 공항,AZR,DAUA,아프리카,Algeria,알제리,Adrar
Afutara Aerodrome,아푸타라 공항,AFT,,대양주,Solomon Islands,솔로몬제도,Afutara
Agadez Mano Dayak International Airport,아가데즈 공항,AJY,DRZA,아프리카,Niger,니제르,Agades South
Agadir Al Massira Airport,알 마씨라 공항,AGA,GMAD,아프리카,Morocco,모로코,Agadir
Guam Antonio B Won Pat International Airport,안토니오 보르냐 원 팟 국제공항,GUM,PGUM,대양주,Guam,괌,Agana (Hagata)
Agartala Singerbhil Airport,싱거힐 공항,IXA,VEAT,아시아,India,인도,Agartala
Agatti Island Airport,아가티 비행장,AGX,VOAT,아시아,India,인도,Agatti
Agen La Garenne Airport,라 가레나 공항,AGF,LFBA,유럽,France,프랑스,Agen
Agra Kheria Airport,케리아 공항 ,AGR,VIAG,아시아,India,인도,Agra
Agri Airport,아리 공항,AJI,LTCO,유럽,Turkey,터키,Agrı
Aguaclara Airport,세자 공항,ACL,,중남미,Colombia,콜롬비아,Aguaclara
Aguadilla Rafael Hernandez Airport,보링겐 공항,BQN,TJBQ,북미,Puerto Rico,푸에르토리코,Aguadilla
Aguascalientes Airport,릭 지저스 테란 페러두 국제공항,AGU,MMAS,중남미,Mexico,멕시코,Aguascalientes
Aguni Airport,아구니 공항,AGJ,,아시아,Japan,일본,Aguni
Ahe Airport,아헤 공항,AHE,NTHE,대양주,French Polynesia,프랑스령폴리네시아,Ahe
Ahmedabad Sardar Vallabhbhai Patel International Airport,사다르 발랍하이 파텔 국제공항 ,AMD,VAAH,아시아,India,인도,Ahmedabad
Ahwaz Airport,아와즈 공항,AWZ,OIAW,중동,Iran,이란,Ahwaz
Westray Airport,웨스트레이 공항,WRY,EGEW,유럽,United Kingdom,영국,Aikerness
Jeh Airport,제 공항,JEJ,,대양주,Marshall Islands,마셜제도,Ailinglapalap Atoll
Ailuk Island Airport,아일룩 섬 공항,AIM,,대양주,Marshall Islands,마셜제도,Ailuk Island
Aitutaki Airport,아바루아 공항,AIT,NCAI,대양주,Cook Islands,쿡 군도,Aitutaki
Aizawl Lengpui Airport,투리알 공군기지,AJL,VELP,아시아,India,인도,Aizawl
Ajaccio Napoleon Bonaparte Airport,아작시오 나폴레옹 보나파르트 공항,AJA,LFKJ,유럽,France,프랑스,Ajaccio
Akhiok Sea Plane Base,아키옥 시플레인 베이스 공항,AKK,,북미,United States of America,미국,Akhiok
Akiak Airport,아키악 공항,AKI,,북미,United States of America,미국,Akiak
Akita Airport,아키타 공항,AXT,RJSK,아시아,Japan,일본,Akita
Aklavik Airport,아클라빅 공항,LAK,CYKD,북미,Canada,캐나다,Aklavik
Akola Airport,아콜라 공항,AKD,VAAK,아시아,India,인도,Akola
Akron-Canton Airport,애크런 캔튼 지역공항,CAK,KCAK,북미,United States of America,미국,Akron
Aksu Wensu Airport,아커쑤 공항,AKU,ZWAK,아시아,China,중국,Aksu
Aktau Airport,악카우 공항,SCO,UATE,아시아,Kazakhstan,카자흐스탄,Aktau
Aktobe Airport,악튜빈스크 공항,AKX,UATT,아시아,Kazakhstan,카자흐스탄,Aktyubinsk
Akulivik Airport,아큘리빅 공항,AKV,CYKO,북미,Canada,캐나다,Akulivik
Akure Airport,아쿠레 공항,AKR,DNAK,아프리카,Nigeria,나이지리아,Akure
Akureyri Airport,아쿠레이리 공항,AEY,BIAR,유럽,Iceland,아이슬란드,Akureyri
Akutan Airport,아쿠탄 공항,KQA,PAUT,북미,United States of America,미국,Akutan
Al Ain International Airport,알아인 국제공항,AAN,OMAL,중동,United Arab Emirates,UAE,Al Ain
Al Ghaydah Airport,알 가이다 공항,AAY,,중동,Yemen,예멘,Al Ghaidah
Al Hoceima Cherif Al Idrissi Airport,샤리프 알 잇드리시 공항,AHU,GMTA,아프리카,Morocco,모로코,Al Hoceima
Al-Ahsa Airport,알 아샤 국내공항,HOF,OEAH,중동,Saudi Arabia,사우디아라비아,Al-Ahsa
Alakanuk Airport,알라카누크 공항,AUK,,북미,United States of America,미국,Alakanuk
Alamogordo-White Sands Regional Airport,앨라모고도 화이트 샌즈 지역공항,ALM,KALM,북미,United States of America,미국,Alamogordo
San Luis Valley Regional Airport,샌 루이스 밸리 지역공항,ALS,KALS,북미,United States of America,미국,Alamosa
Albacete Airport,알바세테 공항,ABC,LEAB,유럽,Spain,스페인,Albacete
Al-Baha Al-Aqiq Airport,알 아키크 공항,ABT,OEBA,중동,Saudi Arabia,사우디아라비아,Al-Baha
Southwest Georgia Regional Airport,사우스웨스트 조지아 공항,ABY,KABY,북미,United States of America,미국,Albany
Albany International Airport,올버니 국제공항,ALB,KALB,북미,United States of America,미국,Albany
Albany Airport,올버니 공항,ALH,YABA,대양주,Australia,오스트레일리아,Albany
Albert Picardie Airport,앨버트 브라이 공항,BYF,LFAQ,유럽,France,프랑스,Albert
Albuquerque International Sunport Airport,앨버커키 국제선포트,ABQ,KABQ,북미,United States of America,미국,Albuquerque
Albury Airport,엘버리 공항,ABX,YMAY,대양주,Australia,오스트레일리아,Albury
Aldan Airport,알단 공항,ADH,UEEA,유럽,Russian Federation,러시아,Aldan
Alderney Airport,더 블라예 공항,ACI,EGJA,유럽,Guernsey,건지,Alderney
Alegrete Gaudencio Machado Ramos Airport,페데랄 공항,ALQ,SSLT,중남미,Brazil,브라질,Alegrete
Aleknagik Airport,알레크나기크 공항,WKK,,북미,United States of America,미국,Aleknagik
Aleppo Nejrab Airport,네즈랍 공항,ALP,OSAP,중동,Syria,시리아,Aleppo
Alexandra Airport,알렉산드라 비행장,ALR,NZLX,대양주,New Zealand,뉴질랜드,Alexandra
Alexandria International Airport (USA),알렉산드리아 국제공항,AEX,KAEX,북미,United States of America,미국,Alexandria
Alexandria El Nouzha Airport,엘 노흐자 공항,ALY,HEAX,아프리카,Egypt,이집트,Alexandria
Alexandria Borg el Arab Airport,보르헤 헬 아랍 공항,HBE,HEBA,아프리카,Egypt,이집트,Alexandria
Alexandroupolis Dimokritos Airport,데모크리토스 공항,AXD,LGAL,유럽,Greece,그리스,Alexandroupolis
Fujairah International Airport,알푸자이라 국제공항,FJR,OMFJ,중동,United Arab Emirates,UAE,Al-Fujairah
Algeciras Heliport,알헤시라스 헬리포트,AEI,,유럽,Spain,스페인,Algeciras
Alghero Fertilia Airport,퍼틸랴 공항,AHO,LIEA,유럽,Italy,이탈리아,Alghero
Algiers Houari Boumediene Airport,훼리 부미딘 공항,ALG,DAAG,아프리카,Algeria,알제리,Algiers
Alicante Elche Miguel Hernandez Airport,알리칸테 공항,ALC,LEAL,유럽,Spain,스페인,Alicante
Alice International Airport,앨리스 국제공항,ALI,KALI,북미,United States of America,미국,Alice
Alice Springs Airport,앨리스 스프링스 공항,ASP,YBAS,대양주,Australia,오스트레일리아,Alice Springs
Al Jouf Airport,알 주프 국내공항,AJF,OESK,중동,Saudi Arabia,사우디아라비아,al-Jouf ( al-Jawf  )
Allahabad Bamrauli Airport,밤라울리 공항,IXD,VIAL,아시아,India,인도,Allahabad
Allakaket Airport,알라카케트 공항,AET,,북미,United States of America,미국,Allakaket
Alliance Municipal Airport,알리앙스 시공항,AIA,KAIA,북미,United States of America,미국,Alliance
Alma Airport,알마 공항,YTF,CYTF,북미,Canada,캐나다,Alma
Almaty International Airport,알마티 공항,ALA,UAAA,아시아,Kazakhstan,카자흐스탄,Almaty
Almeria Airport,알메리아 국제공항,LEI,LEAM,유럽,Spain,스페인,Almeria
